architecture,head,granularity,split,macro_f1
lstm,regression,pooled,val,0.38022489553347216
lstm,classification,pooled,val,0.489949742614117
gru,regression,pooled,val,0.3156183988402746
gru,classification,pooled,val,0.47533137261687397
tcn,regression,pooled,val,0.20548142955312543
tcn,classification,pooled,val,0.48974280601759107
cnn1d,regression,pooled,val,0.33021613416685397
cnn1d,classification,pooled,val,0.48842298192392414
transformer,regression,pooled,val,0.2873604300093995
transformer,classification,pooled,val,0.4764954551625915
lstm,classification,pooled,test,0.46790572788193224
lstm,regression,per_stock,val,0.28129187934939925
lstm,classification,per_stock,val,0.26215671041063804
gru,regression,per_stock,val,0.2708947656165562
gru,classification,per_stock,val,0.27198374581857354
tcn,regression,per_stock,val,0.21733758346017976
tcn,classification,per_stock,val,0.22855533647298126
cnn1d,regression,per_stock,val,0.2488010171032208
cnn1d,classification,per_stock,val,0.2491479716818959
transformer,regression,per_stock,val,0.2489173899558858
transformer,classification,per_stock,val,0.26259226286269255
